?	?	2	0	0	0	0
A	a	12	1	1	0	0
B	b	2	3	0	0	0
C	c	4	3	0	0	0
[CH]	[ch]	1	5	0	1 1	0
D	d	5	2	0	0	0
E	e	12	1	1	0	0
F	f	1	4	0	0	0
G	g	2	2	0	0	0
H	h	2	4	0	0	0
I	i	6	1	1	0	0
J	j	1	8	0	0	0
L	l	4	1	0	0	0
[LL]	[ll]	1	8	0	1 2	0
M	m	2	3	0	0	0
N	n	5	1	0	0	0
Ñ	ñ	1	8	0	0	0
O	o	9	1	1	0	0
P	p	2	3	0	0	0
Q	q	1	5	0	0	0
R	r	5	1	0	0	0
[RR]	[rr]	1	8	0	1 3	0
S	s	6	1	0	0	0
T	t	4	1	0	0	0
U	u	5	1	1	0	0
V	v	1	4	0	0	0
X	x	1	8	0	0	0
Y	y	1	4	0	0	0
Z	z	1	10	0	0	0
